USEmbassyTirana,USEmbassyTirana,USEmbassyTirana,twitter.com/USEmbassyTirana,,,,
USEmbassyKabul,USEmbassyKabul,U.S. Embassy Kabul,twitter.com/USEmbassyKabul,Kabul,Afghanistan,sca,embassy
USAIDAfghan,USAIDAfghan,USAID Afghanistan,twitter.com/USAIDAfghan,Kabul,Afghanistan,sca,usaid-mission
USEmbAlgiers,USEmbAlgiers,US Embassy Algiers,twitter.com/USEmbAlgiers,Algiers,Algeria,nea,embassy
ElizabethAubin,ElizabethAubin,Elizabeth Aubin,twitter.com/ElizabethAubin,Algiers,Algeria,nea,personal
USAIDAngola,USAIDAngola,USAID Angola,twitter.com/USAIDAngola,Luanda,Angola,af,usaid-mission
EmbajadaEEUUarg,EmbajadaEEUUarg,US Embassy Buenos Aires,twitter.com/EmbajadaEEUUarg,Buenos Aires,Argentina,wha,embassy
usembarmenia,usembarmenia,US Embassy Yerevan,twitter.com/usembarmenia,Yerevan,Armenia,eur,embassy
AmbHeffern,AmbHeffern,Ambassador Heffern,twitter.com/AmbHeffern,Yerevan,Armenia,eur,personal
USAIDArmenia,USAIDArmenia,USAID Armenia,twitter.com/USAIDArmenia,Yerevan,Armenia,eur,usaid-mission
USAembassyinOZ,USAembassyinOZ,US Embassy Canberra,twitter.com/USAembassyinOZ,Canberra,Australia,eap,embassy
USConGenSydney,USConGenSydney,US Consulate Sydney,twitter.com/USConGenSydney,Sydney,Australia,eap,consulate
uscongenperth,uscongenperth,U.S. Consulate Perth,twitter.com/uscongenperth,Perth,Australia,eap,consulate
usconsulatemelb,usconsulatemelb,US Consulate Melbourne,twitter.com/usconsulatemelb,Melbourne,Australia,eap,consulate
usembvienna,usembvienna,US Embassy Vienna,twitter.com/usembvienna,Vienna,Austria,eur,embassy
usunvie,usunvie,US Mission Vienna,twitter.com/usunvie,Vienna,Austria,io,mission
usosce,usosce,US Mission to the OSCE,twitter.com/usosce,Vienna,Austria,eur,mission
AlexaWesner,AlexaWesner,Alexa Wesner,twitter.com/AlexaWesner,Vienna,Austria,eur,personal
danbbaer,danbbaer,Daniel Baer,twitter.com/danbbaer,Vienna,Austria,io,mission
USEmbassyBaku,USEmbassyBaku,USEmbassyBaku,twitter.com/USEmbassyBaku,Baku,Azerbaijan,eur,embassy
USEmbassyBah,USEmbassyBah,U.S. Embassy Bahrain,twitter.com/USEmbassyBah,Manama,Bahrain,nea,embassy
USAIDBangladesh,USAIDBangladesh,USAID Bangladesh,twitter.com/USAIDBangladesh,Dhaka,Bangladesh,sca,usaid-mission
USEmbassyBbdos,USEmbassyBbdos,US Embassy Bridgetown,twitter.com/USEmbassyBbdos,Bridgetown,Barbados,wha,embassy
USAIDBarbados,USAIDBarbados,USAID Barbados ,twitter.com/USAIDBarbados,Bridgetown,Barbados,wha,usaid-mission
AmbPalmer,AmbPalmer,Larry Palmer,twitter.com/AmbPalmer,Bridgetown,Barbados,wha,personal
usembbrussels,usembbrussels,US Embassy Brussels,twitter.com/usembbrussels,Brussels,Belgium,eur,embassy
USAandEurope,USAandEurope,US-EuropeanMediaHub,twitter.com/USAandEurope,Brussels,Belgium,eur,foreign-other
USAmbEU,USAmbEU,Ambassador to the EU William Kennard,twitter.com/USAmbEU,Brussels,Belgium,eur,personal
US2EU,US2EU,US Mission to the EU,twitter.com/US2EU,Brussels,Belgium,eur,mission
USAmbNATO,USAmbNATO,Douglas Lute,twitter.com/USAmbNATO,Brussels,Belgium,io,personal
USNATO,USNATO,US Mission to NATO,twitter.com/USNATO,Brussels,Belgium,io,mission
USEmbassyBenin,USEmbassyBenin,U.S. Embassy Benin,twitter.com/USEmbassyBenin,Cotonou,Benin,af,embassy
EmbEUAenBolivia,EmbEUAenBolivia,Embajada EUA Bolivia,twitter.com/EmbEUAenBolivia,La Paz,Bolivia,wha,embassy
USAIDBolivia,USAIDBolivia,USAID Bolivia,twitter.com/USAIDBolivia,La Paz,Bolivia,wha,usaid-mission
USEmbassySJJ,USEmbassySJJ,US Embassy Sarajevo,twitter.com/USEmbassySJJ,Sarajevo,Bosnia and Herzegovina,eur,embassy
EmbaixadaEUA,EmbaixadaEUA,US Embassy Brasilia,twitter.com/EmbaixadaEUA,Brasilia,Brazil,wha,embassy
jovensemb,jovensemb,Jovens Embaixadores,twitter.com/jovensemb,Brasilia,Brazil,wha,foreign-other
ircbrasil,ircbrasil,IRC Brazil,twitter.com/ircbrasil,Brasilia,Brazil,wha,irc
USCitsBrazil,USCitsBrazil,US Citizens Brazil,twitter.com/USCitsBrazil,Brasilia,Brazil,wha,embassy
